Diameter,HMag,Albedo,Density,Strength,Alpha,Velocity,Angle,Azimuth, Latitude,Longitude,LumEff,Ablation,Altitude,GroundE,BlastRad1,BlastRad2,BlastRad4,BlastRad10,ThermRad2,ThermRad3,ThermRad4,ThermRad6,BlastPop1,BlastPop2,BlastPop4,BlastPop10,ThermPop2,ThermPop3,ThermPop4,ThermPop6,TsuWet,TsuCas,GlobalCas
151.44,21.5273,0.1878,3025.16,602500.0,0.11,17654.0,31.73,26.25,-45.0333,11.5414,0.01446,8.182e-09,15320.0,0.000499548,94262.3,75643.1,45203.4,17143.3,54914.1,41230.8,27067.3,21034.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.86,21.4556,0.1065,2083.17,363600.0,0.1788,14507.0,43.92,33.57,-20.4282,78.8031,0.003184,7.756e-09,11500.0,0.00460714,177898.0,92004.3,59689.8,23434.9,26499.8,19091.1,10775.4,6449.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.71,26.1169,0.0155,2981.89,176800.0,0.2651,19583.0,34.53,122.76,-6.95607,-12.9625,0.01371,2.777e-09,21240.0,1.7974e-05,33352.1,13172.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.69,28.2804,0.0532,2325.15,162100.0,0.2582,22544.0,39.35,224.29,-47.1608,176.292,0.0004582,1.012e-09,34490.0,5.02037e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.27,26.371,0.0779,3025.46,117900.0,0.2393,18307.0,81.51,306.74,-0.143153,-109.29,0.0004811,1.213e-09,23790.0,5.5538e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621.66,20.1153,0.0409,2103.84,2074000.0,0.2083,13491.0,33.86,108.4,-71.1911,-62.617,0.02803,7.623e-10,1080.0,2216.23,195713.0,107263.0,61492.3,33276.5,318617.0,245817.0,173817.0,145425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290.27,21.857,0.0377,2243.03,815200.0,0.1468,20087.0,27.28,302.46,-12.3851,-101.461,0.006847,1.233e-09,9920.0,1.11663,273542.0,107550.0,61048.7,30361.7,86413.2,66369.8,46403.4,38441.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.13,23.1893,0.2197,2509.38,462800.0,0.1055,14597.0,62.05,134.5,5.3231,-164.366,0.02855,8.682e-09,18760.0,8.66017e-06,26121.9,7006.94,0.0,0.0,11544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.92,29.1843,0.0379,3201.88,1073000.0,0.2151,19525.0,70.5,37.4,9.60849,-85.2997,0.002086,1.126e-08,33310.0,3.45044e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.97,28.1753,0.3828,3269.71,1308000.0,0.231,16941.0,51.11,261.55,51.6069,32.6405,0.0006329,5.138e-10,32270.0,6.16118e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.93,20.4659,0.278,3315.59,350300.0,0.2041,30248.0,56.41,214.58,3.97702,140.8,0.001211,9.295e-09,12280.0,1.5322e-05,297706.0,114949.0,64828.3,32452.7,36708.0,27221.9,17178.9,12702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.62,21.7912,0.0754,1898.12,104900.0,0.15,40863.0,65.04,289.68,-48.0516,70.5953,0.0007712,1.19e-08,14040.0,8.47151e-14,319689.0,122322.0,68972.7,34669.8,30031.3,21378.6,11400.1,5642.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.61,29.1132,0.187,2426.3,417600.0,0.1079,22058.0,60.77,148.16,19.227,133.629,0.004042,3.003e-08,44020.0,2.03167e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.96,23.0385,0.2978,2400.33,109500.0,0.1953,13039.0,17.86,39.35,6.26744,-57.9456,0.0079,8.249e-10,26190.0,1.35864e-05,6602.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.29,26.3288,0.2928,2641.09,5965000.0,0.2758,13929.0,12.06,23.37,-53.5807,20.8555,0.0006792,5.189e-10,25150.0,2.31769e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.43,29.3588,0.27,1586.08,9455000.0,0.2447,34014.0,35.08,127.78,-51.0738,101.723,0.008836,1.141e-09,33700.0,1.2539e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
